original,translation,Agreement
Ik diagnostiseer geen depressie. Ik beoordeel ze alleen en stuur ze dan door .,I don't diagnose depression; I just assess them and then send them on .,"7. strongly
agree"
Klinische oordeel is vaak onbetrouwbaar,Clinical judgment is often unreliable,6. agree
"Zeker is dit ook belangrijk, maar niet alle aspecten van een mens zijn te vangen in gestandaardiseerde beoordelingsmethoden.","Certainly this is also important, but not all aspects of a person can be captured in standardized assessment methods.","5. somewhat
agree"
"Använder termen Egentlig depression huvudsakligen när tillståndet inkluderar en tydlig tendens till beteendedeaktivering, där mest sannolikt framgångsrika interventionen är beteendeaktivering. Intermittent nedstämdhet ser jag som del av rimliga reaktioner på livet, där en funktionell ansats är det mest rimliga, dvs att använda emotioner och reaktioner som information för hantering av livets olika situationer.","Use the term Major Depressive Disorder mainly when the condition includes a clear tendency towards behavioral deactivation, where the most likely successful intervention is behavioral activation. I see intermittent depression as part of reasonable reactions to life, where a functional approach is the most reasonable, i.e. using emotions and reactions as information for coping with life's different situations.","5. somewhat
agree"
"Jag jobbar inom privat vård och ställer inga diagnoser, så det viktigaste för mig inte om diagnoskriteriera fullt är uppfyllda för behandlingsplanering. I annan vård tänker jag att det är viktigare med exakt diagnos.","I work in private healthcare and do not make diagnoses, so the most important thing for me is not whether the diagnostic criteria are fully met for treatment planning. In other healthcare, I think it is more important to have an accurate diagnosis.",4. neutral
"Men de metoder ni tar upp är ju inte ett dugg anpassade till den kliniska verkligheten. 
Diagnostik utifrån symtom är en banal syssla.
Diagnostik utifrån vetenskapligt hållbara principer har aldrig slagit fel.
Att anpassa den kliniska verkligheten efter forskningsrummet och tro att det som gjorts för att fungera där är tillämpbara är ett feltänk.",But the methods you mention are not at all adapted to clinical reality. Diagnosis based on symptoms is a banal exercise. Diagnosis based on scientifically valid principles has never failed. Adapting clinical reality to the research room and believing that what has been made to work there is applicable is a misconception.,"7. strongly
agree"
Jag arbetar inte med behandling inom vår verksamhet.,I do not work with treatment in our business.,"7. strongly
agree"
Viktigt att använda validerade instrument. Samtidigt är det också viktigt att det verktyg man använder är anpassat för en klinisk miljö (där syftet inte är forskning) så det inte går ut över patientbemötandet,"Important to use validated instruments. At the same time, it is also important that the tool used is adapted to a clinical setting (where the purpose is not research) so that it does not compromise patient care",6. agree
Bij het beoordelen van een depressie is het mijns inziens belangrijk om de persoon in het echt te zien. Vragenlijsten worden bij ons vooraf ingevuld. Het betreft de rom. Deze informatie heb je al. Daar borduur je op voort.,"When assessing depression, I think it is important to see the person in real life. Questionnaires are filled out in advance with us. It concerns the torso. You already have this information; you build on that.","3. somewhat
disagree"
"I kontext av klinisk behandling tänker jag att den viktigaste punkten för individen är om den upplever tillräcklig symptomlindring eller inte, att ett bra mätinstrument kan vara användbart men inte nödvändigtvis relevant för behandlingens framgång eller att bedöma när den är färdig eftersom det finns nyanser och symptom som inte ryms i ett standardiserat instrument.","In the context of clinical treatment, I think the most important point for the individual is whether or not they are experiencing sufficient symptom relief, that a good measurement instrument may be useful but not necessarily relevant to the success of the treatment or to assessing when it is finished as there are nuances and symptoms that cannot be accommodated in a standardized instrument.",4. neutral
Jag bedömmer mina pat inför behandling jag själv utför. Hurvida patienterna möter diagnoskriterier eller inte är sällan relevant i val av metod. I dessa fall stämmer det inte. Men jag kan anta många andra orsaker till att fastställa klinisk depp och då är dessa metoder i allra högsta grad relevanta!,I assess my patients for treatment I perform myself. Whether or not the patients meet diagnostic criteria is rarely relevant in the choice of method. In these cases it is not. But I can assume many other reasons for establishing clinical depp and then these methods are highly relevant!,"3. somewhat
disagree"
Vi är människor och psykisk ohälsa är komplexa fenomen. Därför behövs standardiserade och tillförlitliga hjälpmedel.,"We are human beings and mental health problems are complex phenomena, which is why standardized and reliable tools are needed.","7. strongly
agree"
"Det är en bra början med standardiserade bedömningsmetoder, men de kan inte vara det enda man använder sig av, för tex ett formulär jag som patient ska fylla i ger inte hela bilden. Att få frågan har din aptit förändrats? Supersvårt då jag aldrig haft någon aptit, men den informationen kommer ju inte fram. Jag tycker att vården måste ställa följdfrågor och då med olika formuleringar, tex har du självmordstankar (jag svarar nej) och då fråga Hur känner du för livet? Hur ser du på framtiden?","Standardized assessment methods are a good start, but they can't be the only thing you use, because, for example, a form I as a patient have to fill out doesn't give the whole picture. To be asked has your appetite changed? Super difficult as I've never had an appetite, but that information doesn't come out. I think that the care must ask follow-up questions and then with different wording, for example, do you have suicidal thoughts (I answer no) and then ask How do you feel about life? How do you see the future?","3. somewhat
disagree"
"I agree that for large-scale research, it is important to use standardized methods and that for getting the right treatment it can be helpful to use a standardized assessment tool. But, individuals present depression symptoms differently and the standardized assessment tools are meant to show on a population level what depression looks like not for an individual. As such, they can be useful tools but should not be the only criteria by which one diagnoses an individual. Especially since the presentation can look so different depending on the individual. It is important for those who have an atypical presentation to also get the help they need and deserve.","I agree that for large-scale research, it is important to use standardized methods and that for getting the right treatment it can be helpful to use a standardized assessment tool. But, individuals present depression symptoms differently and the standardized assessment tools are meant to show on a population level what depression looks like not for an individual. As such, they can be useful tools but should not be the only criteria by which one diagnoses an individual. Especially since the presentation can look so different depending on the individual. It is important for those who have an atypical presentation to also get the help they need and deserve.","5. somewhat
agree"
Prettig ter onderbouwing naast klinisch beeld en info die pt wenst te delen,Pleasant for substantiation in addition to clinical picture and info pt wishes to share,6. agree
"Ik vind het voor de behandeling over het algemeen weinig toevoegen, zolang de hulpvraag duidelijk is en relevante differentiaaldiagnoses zijn uitgesloten. Zolang de hulpvraag vooral somberheid betreft, vind cgt of eventueel oplossingsgerichte therapie goed werken.","I find it adds little for treatment in general, as long as the question of help is clear and relevant differential diagnoses are ruled out. As long as the question of help is mainly gloom, I find cgt or possibly solution-focused therapy works well.","5. somewhat
agree"
"vissa metoder kan man inte använda på alla, man måste anpassa metod till patient och inte tvärtom.","some methods cannot be used on everyone, you have to adapt the method to the patient and not the other way around.","3. somewhat
disagree"
Jag kan ibland använda skattningar om jag snabbt behöver screena för tillstånd. Men för diagnostik och differentialdiagnostik använder jag mig av ostrukturerad diagnostisk intervju som ligger i linje med regionens bedömningsmall samt sfBUPs deplyftet,"I can sometimes use estimates if I need to quickly screen for conditions. But for diagnostics and differential diagnostics, I use unstructured diagnostic interview that is in line with the region's assessment template and sfBUP's deplyftet",4. neutral
Observation och öppna frågor är väldigt viktiga. Exemplar etc.,Observation and open questions are very important. Specimens etc.,"5. somewhat
agree"
"Oftast är skattnings instrument bra, men då många patienter lider av komorbiditet är det väldigt viktigt att kunna utesluta att de depressiva symptomen inte beror på andra primära faktorer och det hjälper sällan skattningar till med. Mini kan ju tex göra det men det är inte rutin att göra det på alla och erfarenhet krävs ändå för att uppfatta vad som beror på vad och hur det samspelar med tidigare erfarenheter hos patienten.","Usually, assessment instruments are good, but since many patients suffer from comorbidity, it is very important to be able to rule out that the depressive symptoms are not due to other primary factors and estimates rarely help with that. Mini can do it, for example, but it is not routine to do it on everyone and experience is still required to perceive what is due to what and how it interacts with previous experiences of the patient.","5. somewhat
agree"
Lägger stor vikt vid att stämma av diagnoskriterier,Places great emphasis on reconciling diagnostic criteria,"5. somewhat
agree"
Een depressie kan ook worden vastgesteld aan de hand van een intake waarbij de klachten goed worden uitgevraagd of het bijhouden van een life chart,Depression can also be diagnosed through an intake where the symptoms are properly explored or by keeping a life chart,"5. somewhat
agree"
Ett bedömningsinstrument kan vara för trubbigt för att få med alla aspekter av en patients situation som kan tänkas påverka patientens mående.,An assessment instrument may be too blunt to capture all aspects of a patient's situation that may affect their well-being.,"3. somewhat
disagree"
Metoden måste alltid anpassas till patienten. I mötet med barn och ungdomar behövs mer än skattningsskalor. Information bör inhämtas även från föräldrar och genom samtal med barnet dör frågorna anpassas. I början och slutet av en insats är det viktigt att använda standardiserade metoder. I bedömning om det handlar om depression eller ej även viktigt att differentiera mot annan psykisk ohälsa/problematik.,"The method must always be adapted to the patient. In the meeting with children and young people, more than rating scales are needed. Information should also be obtained from parents and through conversations with the child, the questions are adapted. At the beginning and end of an intervention, it is important to use standardized methods. In assessing whether it is depression or not, it is also important to differentiate from other mental illness/problems.","5. somewhat
agree"
Med åren har jag lärt mig frågorna från standardiserade intervjuformulär utantill och använder mig av dem utan att ha papper i handen.,"Over the years, I have memorized the questions from standardized interview forms and use them without having paper in hand.","7. strongly
agree"
Detta är lite beroende på anamnes. Om patienten har recidiverande depressioner eller ej. Likaså spelar läkares bedömning in.,"This depends to some extent on the patient's medical history, whether the patient has recurrent depression or not, and the doctor's judgment.","5. somewhat
agree"
"Det är bra att ha tillgång till validerade instrument för att mäta förändring & kunna nyansera symtombild. Men för att identifiera en depression i sig litar jag mer på min kliniska bedömning under intervju än på instrument som påverkas av skattningsbias. Många av frågorna är ändå närmast identiska, men ett samtal utvecklas organiskt & ger fylligare information om vilken mening patienten tillskriver sina symtom.","It is good to have access to validated instruments to measure change & be able to nuance the symptom picture. But to identify depression per se, I rely more on my clinical judgment during interview than on instruments that are affected by estimation bias. Many of the questions are still almost identical, but a conversation develops organically & provides richer information about the meaning the patient attributes to their symptoms.","5. somewhat
agree"
"Med tanke på den tidsbrist som finns hos allmänläkare är det omöjligt att använda sig av skattningsskalor frekvent. Det finns helt enkelt inte tid för det, vilket är väldigt dåligt egentligen och sätter stor press på behandlande läkare. Produktion sätts över vårdkvalitet många gånger.","Given the time constraints of general practitioners, it is impossible to use rating scales frequently. There is simply no time for it, which is a very bad thing indeed and puts a lot of pressure on treating doctors. Production is put above quality of care many times.","5. somewhat
agree"
"Det är viktigt eftersom man inte kan lite enbart på klinisk erfarenhet och samtal/intervju, man kan missa ngt. Det är seriöst och mer patientsäkert, man riskerar inte att missa ngt. Viktigt att kunna bekräfta och följa upp så bedömningen blir korrekt och därmed bedömning, behandling/rekommendationer.","It is important because you cannot rely solely on clinical experience and conversation / interview, you can miss something. It is serious and more patient-safe, you do not risk missing anything. Important to be able to confirm and follow up so that the assessment is correct and thus assessment, treatment / recommendations.",6. agree
"Depression är en bisarr stämpel.
Internationellt innefattar den ju utmattningsdepression vilket den inte gör i Sverige.
Det som man missar i bedömningen är grad av kognitiv nedsättning. 
Förekomst av repetetitiva negativa tankar med mera.
","Depression is a bizarre label. Internationally, it includes exhaustion depression, which it does not in Sweden. What is missed in the assessment is the degree of cognitive impairment. The presence of repetitive negative thoughts, etc.","1. strongly
disagree"
"De manier van beoordelen verschilt vaak, maar zolang we dezelfde dsm criteria aanhouden lijkt me dat voldoende.","The method of assessment often differs, but as long as we are using the same dsm criteria, I think that is enough.",4. neutral
Belangrijk om strict de definitie van depressie volgens de dan aan te houden om te komen tot hoge validiteit en betrouwbaarheid. Maar dit kan ook zonder specifieke instrumenten. Clinici kunnen zelf de criteria uitvragen.,Important to strictly adhere to the definition of depression according to the then to achieve high validity and reliability. But this can also be done without specific instruments. Clinicians can ask the criteria themselves.,"5. somewhat
agree"
"Belangrijker is om een brede onderzoeksvraag te hebben om de hulpvraag te beantwoorden. Zo lang je oog houdt voor andere verklaringen van (mentale) problemen en er geen tunnelvisie voor depressie ontstaat is het niet essentieel om gestandaardiseerde methoden te gebruiken. Het beoordelen van DSM-5 criteria voor depressie (en andere klachtengebieden) kan ook zonder deze methoden. Het is zeker een mooie aanvulling in de diagnostiek als houvast of lijdraad, zowel voor de ervaren beoordelaars als voor beginnende.","More important is to have a broad research question to answer the question of help. As long as you keep an eye out for other explanations of (mental) problems and do not create tunnel vision for depression, it is not essential to use standardized methods. Assessing DSM-5 criteria for depression (and other symptom areas) can be done even without these methods. It is certainly a nice addition in diagnostics as a guide or leitmotif, both for experienced assessors and novices.","5. somewhat
agree"
"Gerapporteerde klachten worden duidelijk in kaart gebracht. Echter kan er een andere verklaring zijn voor de klachten, deze wordt niet meegenomen in de vragenlijst, dit zie ik als een beperking","Reported complaints are clearly identified. However, there may be another explanation for the complaints, this is not included in the questionnaire, I see this as a limitation",6. agree
"screening bij depressie is altijd afhankelijk van de subjectieve beleving van betrokkene en een momentopname. ik wil de klachten in de context van de betrokkene beoordelen (bijvoorbeeld is er sprake van life-events, hoe is het sociaal-maatschappelijk functioneren, etc. en vervolgens in samenspraak met betrokkene vaststellen of er sprake is van depressie.","screening for depression is always dependent on the subjective perception of the person involved and a snapshot in time. i want to assess the symptoms in the context of the person involved (e.g., are there life events, what is the social functioning like, etc.) and then determine in consultation with the person involved whether depression is present.","3. somewhat
disagree"
"Eens maar in de praktijk (basis ggz) krijg je van de zorgverzekering maar weinig tijd, dus een gestandaardiseerd interview is in de setting waar ik werk gewoon niet mogelijk","Agreed but in practice (basic mental health) health insurance gives you very little time, so a standardized interview is just not possible in the setting where I work",6. agree
Daarnaast belangrijk om in gesprek met patient te gaan en daardoor zicht te krijgen in hoeverre depressie aan de orde is. Daarnaast als het kan ook inbreng van naasten van patient.,"It is also important to have a conversation with the patient in order to gain insight into the extent to which depression is an issue and, if possible, input from the patient's relatives.","5. somewhat
agree"
"In principe volledig eens, maar in de klinische praktijk binnen samenwerking in een team van professionals en een psychiater/klinisch psycholoog wordt het ook soms gedaan op basis van klinisch oordeel/uitvragen DSM.","Totally agree in principle, but in clinical practice within collaboration in a team of professionals and a psychiatrist/clinical psychologist, it is also sometimes done based on clinical judgment/outcome DSM.",6. agree
"Beror på insatsen vidare. 
Om jag ska behandla patienten så är jag intresserad av exakt måendegrad, annars bedömer jag funktionsgrad/suicidrisk för att remittera patienten vidare.","If I am going to treat the patient, I am interested in the exact level of functioning, otherwise I assess the level of functioning/suicide risk to refer the patient on.","5. somewhat
agree"
Omdat ik gebleken in de praktijk dat een klinisch oordeel (meer)waarde heeft,Because I have shown in practice that clinical judgment has (more) value,"5. somewhat
agree"
"Standardiserade bedömningsmetoder är ofta allt för omfattande för att appliceras i en primärvårdskontext. När diagnosen dessutom inte tillför särskilt mycket riskerar detta att ta fokus från det viktiga, behandlingsinterventionerna.","Standardized assessment methods are often too comprehensive to be applied in a primary care context. Moreover, when the diagnosis does not add much value, this risks taking the focus away from the important treatment interventions.","3. somewhat
disagree"
Det beror på hur/av vem metoden utvecklats.,It depends on how/by whom the method was developed.,2. disagree
Depression är en av de enklaste psykiatriska diagnoserna att ställa. Det som är mer krävande är dels bedömning av andra faktorer som har lett till eller upprätthåller depressionen och dels behandling av depression.,Depression is one of the easiest psychiatric diagnoses to make. What is more challenging is the assessment of other factors that have led to or maintain the depression and the treatment of depression.,"3. somewhat
disagree"
Det finns mycket information som en skattningsskala inte fångar som t.ex icke verbal kommunikation mimik bristfällig kontakt. Dessa depressiva tecken bör msn fråga vidare på. Anhörigintervju kan också behövas för patienter som dissimulerar,"There is a lot of information that a rating scale does not capture, such as non-verbal communication, facial expressions and lack of contact. These depressive signs should be further investigated by the msn. A family interview may also be needed for patients who conceal","5. somewhat
agree"
"Utifrån min erfarenhet är skattningsskalor och andra mätningsinstrument viktiga men måste kompletteras med klinisk intervju då patienter ofta missförstår skattningsinstrument, alternativt tolkar begrepp på ett annat sätt än det som avses.","In my experience, rating scales and other measurement instruments are important but must be supplemented with clinical interviews as patients often misunderstand rating instruments, or interpret concepts in a different way than intended.","5. somewhat
agree"
Pålitlig mätbarhet; normering samt validitet och interbedömarreliabilitet.,Reliable measurability; standardization and validity and inter-rater reliability.,"7. strongly
agree"
Mina svar baseras på utredningsarbete vid sk försäkringsmedicinska utredningar där MINI är ett obligatoriskt instrument. Och det är alltså inte förknippat med behandlingsinsatser.,My answers are based on investigation work in so-called insurance medical investigations where MINI is a mandatory instrument. And it is thus not associated with treatment interventions.,"5. somewhat
agree"
"I en primärvårdssetting så funkar inte en noggrann och tidskrävande anamnestagning. Då skulle en bråkdel av alla som söker hjälp få hjälp vilket vi också såg när vi tittade på siffrorna. Alla använda validerade skattningsskalor var till liten eller ingen hjälp heller innan vi slutade med det för skattningen var i för hög utsträckning påverkad av vårdköer. Dvs folk maxade symtom på alla formulär för att få hjälp snabbt. I rummet framkom något annat. Validerade metoder med god reliabilitet funkar bäst i forskning och i andra settings. Skulle du studera reliabilitet för samma metoder inom primärvården med vårdköer skulle siffrorna inte se bra ut. Depression som som diagnos är heller inte nödvändig att ställa på någon där livet har slagit till ex när en partner har gjort slut och man är deppig och inte hanterar det så konstruktivt. En depressionsbehandling kan användas ändå på all deppighet, direkt och samma dag som patienten söker hjälp när den är mest motiverad för att bryta den negativa spiralen. Det var vårt fokus och det funkade väldigt bra. Sedan hade vi kontinuerlig differentaldiagnistiskt tänk under behandling och framkom behov av en mer strukturerad utredning så tog vi hjälp av validerade formulär då.","In a primary care setting, thorough and time-consuming history taking does not work. 
Then a fraction of all those who seek help would get help, which we also saw when we looked at the figures. All the validated 
assessment scales used were of little or no help either before we stopped using them because the assessment was too much influenced 
by healthcare queues. That is, people maxed out symptoms on all the forms to get help quickly. Something else emerged in the room. 
Validated methods with good reliability work best in research and other settings. If you were to study the reliability of the same 
methods in primary care with care queues, the figures would not look good. Depression as a diagnosis is also not necessary to make 
on someone where life has taken a turn for the worse, for example when a partner has broken up and you are depressed and not dealing 
with it constructively. A depression treatment can be used anyway for all depression, directly and on the same day that the patient 
seeks help when it is most motivated.","3. somewhat
disagree"
Det är speciellt viktigt i tveksamma fall. Typisk depression är inte svår att upptäcka och behandla varför skattningsskalor har mindre betydelse.,"It is especially important in doubtful cases. Typical depression is not difficult to detect and treat, so rating scales are less important.",6. agree
Ik vind dat naast een gestandaardiseerde methode het klinische niet-gestructureerde interview ook vaak voldoende is. Zo ingewikkeld is een depressie vaststellen niet.,"I find that in addition to a standardized method, the clinical unstructured interview is often sufficient. Diagnosing depression is not that complicated.","3. somewhat
disagree"
Ik denk dat het altijd belangrijk is om een gestandaardiseerde beoordelingsmethode te gebruiken. Ik werk met een doelgroep waar deze niet altijd voorhanden is (verstandelijk beperkte mensen).,"I think it is always important to use a standardized method of assessment, and I work with a target group where this is not always available (mentally challenged people).","5. somewhat
agree"
Wanneer betrouwbaarheid en validiteit groot zijn meten de instrumenten wat ze moeten meten. Daarom belangrijk om dit ook af te nemen,"When reliability and validity are high, the instruments measure what they are supposed to measure, so it is important to take this too","7. strongly
agree"
Ik denk dat het per casus afhankelijk is. In sommige gevallen lijkt het evident dat er sprake is van een depressie in andere gevallen kunnen de symptomen a-typisch lijken of verscholen onder andere  symptomen.,I think it depends on a case-by-case basis. In some cases it seems obvious that depression is present in others the symptoms may seem a-typical or hidden among other symptoms.,"3. somewhat
disagree"
Gestandaardiseerde methodes vormen een basis voor de beoordeling,Standardized methods provide a basis for assessment,"5. somewhat
agree"
"Dit antwoord is anders dan hoe ik er tegenaan keek toen ik minder ervaring had. Ik heb geleerd om verder te kijken en te denken dan symptomen. Als het lukt om de symptomen goed te kunnen benoemen en classificerend een voldoende antwoord te geven is dat heel belangrijk. Maar belangrijker nog is om een beschrijvende diagnose te kunnen geven die de cliënt en het ontstaan en in stand houden van de klacht beschrijft. Dan heb je veel concreter een idee hoe je deze klachten aan kunt pakken, enkel dan een dsm diagnose.","This answer is different from how I looked at it when I had less experience.I have learned to look and think beyond symptoms.If you can manage to properly name the symptoms and give a sufficient answer classificatively, that is very important.But more important is to be able to give a descriptive diagnosis that describes the client and the origin and perpetuation of the complaint.Then you have a much more concrete idea of how to address these complaints, just than a dsm diagnosis.","5. somewhat
agree"
"Ik vind het belangrijk om het uitvragen van depressie te structureren en dat dit wetenschappelijk onderbouwd is. Echter is het ook belangrijk om rekening te houden met context en andere problematiek, waardoor ik het prettig vind dat er ruimte is om dit te bespreken ipv blind staren op diagnostiseren van depressie.","I think it is important to structure the questioning of depression and that it is scientifically based. However, it is also important to take into account context and other problems, so I like that there is room to discuss this instead of staring blindly at diagnosing depression.","5. somewhat
agree"
"Ik vind dit afhankelijk van het doel van het stellen van de diagnose. Iemand die therapie zoekt, waarbij lijdensdruk duidelijk zichtbaar is, kenmerken van depressie globaal aanwezig, is geholpen door de diagnose omdat dit nodig is om de behandeling vergoed te krijgen. Dan zijn meetinstrumenten wellicht niet noodzakelijk. Wil iemand ook toegang tot medicatie, dan vind ik validiteit en betrouwbaarheid al een stuk belangrijker. Ook in een onderzoekssetting zou ik andere meetinstrumenten gebruiken dan ik nu in de dagelijkse praktijk doe.","I think this depends on the purpose of making the diagnosis. Someone seeking therapy, where suffering is clearly visible, characteristics of depression globally present, is helped by the diagnosis because this is necessary to get treatment reimbursed. Then measuring instruments may not be necessary. If someone also wants access to medication, then I think validity and reliability are already a lot more important. Also in a research setting I would use different measuring instruments than I do now in daily practice.","5. somewhat
agree"
"De praktijk maakt het vaak moeilijk om gebruik te maken van dit soort tests, simpelweg door de gebonden tijd die besteed kan worden voor een cliënt. Vaak weeg ik, op basis van het punt in de therapeutische relatie, af of ik middels een klinische indruk de ernst van klachten beoordeel. Zo is het bij de ene cliënt meer gewenst om middels gespreksvoering de klachten in kaart te brengen, en is bij de andere cliënt mogelijk dit middels tests te doen.","The practice often makes it difficult to make use of these kinds of tests, simply because of the limited time that can be spent with a client. Often I weigh, based on the point in the therapeutic relationship, whether to assess the severity of complaints by means of a clinical impression. For example, with one client it is more desirable to assess the complaints by means of conversation, and with another client it is possible to do this by means of tests.","5. somewhat
agree"
"Bij comorbide persoonlijkheidsproblematiek, NAH of ernstige somatische aandoeningen is het soms niet afdoende
Dus als het kan ja, maar niet als starre regel aub","With comorbid personality problems, NAH or severe somatic conditions, it is sometimes not adequate So if it can be done yes, but not as a rigid rule please",4. neutral
In mijn opinie komt het werken met een diagnosesysteem de kwaliteit van de geboden zorg niet altijd ten goede.,"In my opinion, working with a diagnostic system does not always improve the quality of care provided.","3. somewhat
disagree"
In conjuncture with other sources of information.,In conjuncture with other sources of information.,"7. strongly
agree"
"Agree with statement above depending on clinical setting and client’s goals. In my private practice where I work primarily alone (I consult and collaborate with other providers as needed) and meet the client frequently  and know the person well, I don’t believe a semi-structured assessment is necessary each time, but if I need to make a formal diagnosis, I will typically draw on the SCID questions (lodged in my mind from years of research) to help me make a diagnosis. I use the DASS as my main continuous instrument today to follow up on sxs (the other instruments I endorsed, eg BDI, HRSD, I used in the past).","Agree with statement above depending on clinical setting and client’s goals. In my private practice where I work primarily alone (I consult and collaborate with other providers as needed) and meet the client frequently and know the person well, I don’t believe a semi-structured assessment is necessary each time, but if I need to make a formal diagnosis, I will typically draw on the SCID questions (lodged in my mind from years of research) to help me make a diagnosis. I use the DASS as my main continuous instrument today to follow up on sxs (the other instruments I endorsed, eg BDI, HRSD, I used in the past).","5. somewhat
agree"
Important to seek the story behind the number,Important to seek the story behind the number,"7. strongly
agree"
"It is important to use standardized instruments because they are research-based, faster than an interview, and they may detect something I did not observe. Furthermore, recording the scores on these instruments as part of the clinical record is important for supporting the diagnosis when dealing with insurers. However, it is also indispensable to follow up with the client to assess the answers and ask questions that are not on the instruments. The measurement instruments themselves are a partial picture, and are not sufficient for making a diagnosis or determining treatment.","It is important to use standardized instruments because they are research-based, faster than an interview, and they may detect something I did not observe. Furthermore, recording the scores on these instruments as part of the clinical record is important for supporting the diagnosis when dealing with insurers. However, it is also indispensable to follow up with the client to assess the answers and ask questions that are not on the instruments. The measurement instruments themselves are a partial picture, and are not sufficient for making a diagnosis or determining treatment.",6. agree
"People from certain cultural groups (e.g., military veterans, african americans, asian americans) often will not endorse many symptoms on the screening measure, but when you ask them after they have gotten to know and trust you, and understand the intent of question better, they are more likely to report depression symptoms.","People from certain cultural groups (e.g., military veterans, african americans, asian americans) often will not endorse many symptoms on the screening measure, but when you ask them after they have gotten to know and trust you, and understand the intent of question better, they are more likely to report depression symptoms.",6. agree
"Clients cannot always identify their depression. W others, they catastrophizing and the schedule causes suggestibility","Clients cannot always identify their depression. W others, they catastrophizing and the schedule causes suggestibility",4. neutral
"When are you going to, they should be a very high validilty and reliability, but they should not be used by themselves without clinical judgment","When are you going to, they should be a very high validilty and reliability, but they should not be used by themselves without clinical judgment","5. somewhat
agree"
